,SAP,,ORCL,,MSFT,,TSLA,,FB,,GOOG,,NFLX,,IBM,,AAPL,,AMZN,
Date,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close,Close,Adj Close
1/2/2018,112.389999,109.207581,46.630001,45.122593,85.949997,83.53968,320.529999,320.529999,181.419998,181.419998,1065,1065,201.070007,201.070007,154.25,142.483978,172.259995,167.701889,1189.01001,1189.01001
1/3/2018,113.309998,110.101524,47.709999,46.167679,86.349998,83.928474,317.25,317.25,184.669998,184.669998,1082.47998,1082.47998,205.050003,205.050003,158.490005,146.400558,172.229996,167.672668,1204.199951,1204.199951
1/4/2018,115.050003,111.792259,48.18,46.622482,87.110001,84.667145,314.619995,314.619995,184.330002,184.330002,1086.400024,1086.400024,205.630005,205.630005,161.699997,149.365707,173.029999,168.451508,1209.589966,1209.589966
1/5/2018,116.330002,113.036011,48.470001,46.903114,88.190002,85.716881,316.579987,316.579987,186.850006,186.850006,1102.22998,1102.22998,209.990005,209.990005,162.490005,150.095444,175,170.369385,1229.140015,1229.140015
1/8/2018,114.800003,111.549332,48.98,47.396618,88.279999,85.804337,336.410004,336.410004,188.279999,188.279999,1106.939941,1106.939941,212.050003,212.050003,163.470001,151.000687,174.350006,169.736588,1246.869995,1246.869995
1/9/2018,114.160004,110.92746,49.060001,47.658916,88.220001,85.746025,333.690002,333.690002,187.869995,187.869995,1106.26001,1106.26001,209.309998,209.309998,163.830002,151.333221,174.330002,169.717117,1252.699951,1252.699951
1/10/2018,112.870003,109.673988,48.799999,47.406338,87.82,85.357239,334.799988,334.799988,187.839996,187.839996,1102.609985,1102.609985,212.520004,212.520004,164.179993,151.656525,174.289993,169.678162,1254.329956,1254.329956
1/11/2018,109.639999,106.535446,48.950001,47.552048,88.080002,85.609947,337.950012,337.950012,187.770004,187.770004,1105.52002,1105.52002,217.240005,217.240005,164.199997,151.675003,175.279999,170.641968,1276.680054,1276.680054
1/12/2018,110.129997,107.011566,49.509998,48.096058,89.599998,87.087334,336.220001,336.220001,179.369995,179.369995,1122.26001,1122.26001,221.229996,221.229996,163.139999,150.695847,177.089996,172.404099,1305.199951,1305.199951
1/16/2018,110.68,107.545998,49.59,48.173775,88.349998,85.872368,340.059998,340.059998,178.389999,178.389999,1121.76001,1121.76001,221.529999,221.529999,163.850006,151.3517,176.190002,171.527893,1304.859985,1304.859985
1/17/2018,111.190002,108.041557,50.27,48.834351,90.139999,87.612183,347.160004,347.160004,177.600006,177.600006,1131.97998,1131.97998,217.5,217.5,168.649994,155.785538,179.100006,174.360886,1295,1295
1/18/2018,111.669998,108.507965,50.23,48.795494,90.099998,87.573303,344.570007,344.570007,179.800003,179.800003,1129.790039,1129.790039,220.330002,220.330002,169.119995,156.219681,179.259995,174.516632,1293.319946,1293.319946
