,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,FB,FB,FB,FB,GOOG,GOOG,GOOG,GOOG,IBM,IBM,IBM,IBM,MSFT,MSFT,MSFT,MSFT,NFLX,NFLX,NFLX,NFLX,ORCL,ORCL,ORCL,ORCL,SAP,SAP,SAP,SAP,TSLA,TSLA,TSLA,TSLA,Index
,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,Date,Close,Adj Close,Dividend,High_Tech_Index
0,2018-01-02,172.259995,167.701889,0.0,2018-01-02,1189.01001,1189.01001,0.0,2018-01-02,181.419998,181.419998,0.0,2018-01-02,1065.0,1065.0,0.0,2018-01-02,154.25,142.483978,0.0,2018-01-02,85.949997,83.53968,0.0,2018-01-02,201.070007,201.070007,0.0,2018-01-02,46.630001,45.122593,0.0,2018-01-02,112.389999,109.207581,0.0,2018-01-02,320.52999900000003,320.52999900000003,0.0,352.85100059999996
1,2018-01-03,172.229996,167.672668,1.6224145630904304e-05,2018-01-03,1204.199951,1204.199951,0.0,2018-01-03,184.669998,184.669998,0.0,2018-01-03,1082.47998,1082.47998,0.0,2018-01-03,158.490005,146.40055800000002,2.1457560816852082e-06,2018-01-03,86.349998,83.928474,1.057559961464958e-05,2018-01-03,205.050003,205.050003,0.0,2018-01-03,47.709998999999996,46.167679,1.1053246131459532e-06,2018-01-03,113.309998,110.101524,5.562469427806715e-06,2018-01-03,317.25,317.25,0.0,357.17399280000006
2,2018-01-04,173.029999,168.45150800000002,5.774164034853179e-06,2018-01-04,1209.589966,1209.589966,0.0,2018-01-04,184.330002,184.330002,0.0,2018-01-04,1086.400024,1086.400024,0.0,2018-01-04,161.699997,149.36570700000001,1.2451721668382778e-05,2018-01-04,87.110001,84.66714499999999,1.951941055265779e-05,2018-01-04,205.630005,205.630005,0.0,2018-01-04,48.18,46.622482,4.388922972440313e-06,2018-01-04,115.050003,111.792259,2.0394158988794742e-07,2018-01-04,314.619995,314.619995,0.0,358.5639992
3,2018-01-05,175.0,170.36938500000002,3.616733237898906e-06,2018-01-05,1229.140015,1229.140015,0.0,2018-01-05,186.850006,186.850006,0.0,2018-01-05,1102.22998,1102.22998,0.0,2018-01-05,162.490005,150.095444,1.0878044179246267e-05,2018-01-05,88.190002,85.716881,2.2197991449152148e-05,2018-01-05,209.99000499999997,209.99000499999997,0.0,2018-01-05,48.470001,46.903114,6.041336999950578e-06,2018-01-05,116.33000200000001,113.03601100000002,2.7283029690310466e-06,2018-01-05,316.579987,316.579987,0.0,363.52700030000005
4,2018-01-08,174.350006,169.73658799999998,2.338719776743487e-06,2018-01-08,1246.869995,1246.869995,0.0,2018-01-08,188.279999,188.279999,0.0,2018-01-08,1106.939941,1106.939941,0.0,2018-01-08,163.470001,151.000687,3.21719885135382e-08,2018-01-08,88.279999,85.804337,1.7683540218239615e-05,2018-01-08,212.05000299999998,212.05000299999998,0.0,2018-01-08,48.98,47.396618,8.47873538095012e-06,2018-01-08,114.800003,111.549332,3.4715525818832785e-06,2018-01-08,336.410004,336.410004,0.0,368.0429951
5,2018-01-09,174.330002,169.717117,3.781230443131014e-06,2018-01-09,1252.699951,1252.699951,0.0,2018-01-09,187.869995,187.869995,0.0,2018-01-09,1106.26001,1106.26001,0.0,2018-01-09,163.830002,151.333221,7.037504025665273e-06,2018-01-09,88.220001,85.746025,3.5606273317131966e-06,2018-01-09,209.309998,209.309998,0.0,2018-01-09,49.060001,47.658916,0.1900080816647601,2018-01-09,114.160004,110.92746000000001,4.989432310520454e-06,2018-01-09,333.690002,333.690002,0.0,367.9429966
6,2018-01-10,174.28999299999998,169.67816200000001,4.7919769723353665e-06,2018-01-10,1254.329956,1254.329956,0.0,2018-01-10,187.83999599999999,187.83999599999999,0.0,2018-01-10,1102.609985,1102.609985,0.0,2018-01-10,164.179993,151.656525,1.0745436739930323e-05,2018-01-10,87.82,85.357239,2.408263922215603e-06,2018-01-10,212.520004,212.520004,0.0,2018-01-10,48.799999,47.406338,1.3385287341785812e-06,2018-01-10,112.870003,109.673988,1.5116945459244385e-06,2018-01-10,334.799988,334.799988,0.0,368.0059917
7,2018-01-11,175.279999,170.641968,3.852836608767829e-06,2018-01-11,1276.680054,1276.680054,0.0,2018-01-11,187.770004,187.770004,0.0,2018-01-11,1105.52002,1105.52002,0.0,2018-01-11,164.199997,151.675003,1.26688260032762e-07,2018-01-11,88.08000200000001,85.60994699999999,2.7601287962697685e-06,2018-01-11,217.24000499999997,217.24000499999997,0.0,2018-01-11,48.950001,47.552048,8.36259220633852e-06,2018-01-11,109.639999,106.535446,1.6424610746077182e-06,2018-01-11,337.950012,337.950012,0.0,371.1310093
8,2018-01-12,177.08999599999999,172.404099,2.8246218086794046e-05,2018-01-12,1305.199951,1305.199951,0.0,2018-01-12,179.369995,179.369995,0.0,2018-01-12,1122.26001,1122.26001,0.0,2018-01-12,163.139999,150.695847,1.46814433219573e-05,2018-01-12,89.599998,87.087334,1.6913074447218588e-05,2018-01-12,221.229996,221.229996,0.0,2018-01-12,49.509997999999996,48.096058,5.942693972605772e-06,2018-01-12,110.129997,107.01156599999999,3.356134686804479e-06,2018-01-12,336.22000099999997,336.22000099999997,0.0,375.37499410000004
9,2018-01-16,176.190002,171.527893,2.718135042490014e-05,2018-01-16,1304.859985,1304.859985,0.0,2018-01-16,178.389999,178.389999,0.0,2018-01-16,1121.76001,1121.76001,0.0,2018-01-16,163.850006,151.3517,4.965409809832591e-06,2018-01-16,88.349998,85.87236800000001,2.0771175979494433e-05,2018-01-16,221.52999900000003,221.52999900000003,0.0,2018-01-16,49.59,48.173775,2.556899525107959e-07,2018-01-16,110.68,107.545998,2.9031485349406698e-06,2018-01-16,340.059998,340.059998,0.0,375.52599970000006
10,2018-01-17,179.100006,174.36088600000002,1.039456514033106e-05,2018-01-17,1295.0,1295.0,0.0,2018-01-17,177.600006,177.600006,0.0,2018-01-17,1131.97998,1131.97998,0.0,2018-01-17,168.649994,155.785538,1.2587025671039142e-05,2018-01-17,90.139999,87.612183,1.1724145724708586e-05,2018-01-17,217.5,217.5,0.0,2018-01-17,50.27,48.834351,4.16018633802251e-06,2018-01-17,111.190002,108.04155700000001,1.887718021018369e-06,2018-01-17,347.160004,347.160004,0.0,376.8589991
11,2018-01-18,179.259995,174.51663200000002,9.82287910685223e-06,2018-01-18,1293.319946,1293.319946,0.0,2018-01-18,179.800003,179.800003,0.0,2018-01-18,1129.790039,1129.790039,0.0,2018-01-18,169.119995,156.219681,7.324943865820273e-06,2018-01-18,90.099998,87.57330300000001,7.791065868486676e-07,2018-01-18,220.330002,220.330002,0.0,2018-01-18,50.23,48.795494,6.691191764884862e-07,2018-01-18,111.66999799999999,108.50796499999998,3.6058094207755363e-06,2018-01-18,344.570007,344.570007,0.0,376.8189983
12,2018-01-19,178.46000700000002,173.73783899999998,2.752488694168506e-05,2018-01-19,1294.579956,1294.579956,0.0,2018-01-19,181.28999299999998,181.28999299999998,0.0,2018-01-19,1137.51001,1137.51001,0.0,2018-01-19,162.369995,149.984573,9.420739183707849e-06,2018-01-19,90.0,87.476105,4.394939752128124e-06,2018-01-19,220.460007,220.460007,0.0,2018-01-19,50.580002,49.135498,2.433494990177771e-06,2018-01-19,113.199997,109.99463700000001,3.8063253676728505e-06,2018-01-19,350.019989,350.019989,0.0,377.8469956
13,2018-01-22,177.0,172.316452,1.3190062825296778e-05,2018-01-22,1327.310059,1327.310059,0.0,2018-01-22,185.369995,185.369995,0.0,2018-01-22,1155.810059,1155.810059,0.0,2018-01-22,162.600006,150.197052,1.406517152742498e-05,2018-01-22,91.610001,89.040962,5.7667154810359124e-06,2018-01-22,227.580002,227.580002,0.0,2018-01-22,50.709998999999996,49.261787,4.679876354061432e-06,2018-01-22,112.779999,109.586533,1.4233047656250724e-06,2018-01-22,351.559998,351.559998,0.0,384.23301180000004
14,2018-01-23,177.03999299999998,172.355392,5.3850079987197e-06,2018-01-23,1362.540039,1362.540039,0.0,2018-01-23,189.350006,189.350006,0.0,2018-01-23,1169.969971,1169.969971,0.0,2018-01-23,166.25,153.56861899999998,9.925128571369735e-06,2018-01-23,91.900002,89.322823,7.629954791980812e-06,2018-01-23,250.289993,250.289993,0.0,2018-01-23,51.119999,49.660076000000004,1.9709653459455944e-06,2018-01-23,114.269997,111.03433999999999,3.8713016760447116e-07,2018-01-23,352.790009,352.790009,0.0,392.55200089999994
15,2018-01-24,174.220001,169.610016,3.0730821168532864e-06,2018-01-24,1357.51001,1357.51001,0.0,2018-01-24,186.550003,186.550003,0.0,2018-01-24,1164.23999,1164.23999,0.0,2018-01-24,165.369995,152.755737,3.1418584278001e-06,2018-01-24,91.82,89.245064,5.352662593205437e-07,2018-01-24,261.299988,261.299988,0.0,2018-01-24,51.450001,49.980652,1.5926308514288185e-06,2018-01-24,114.370003,111.13151599999999,1.8088697149745273e-06,2018-01-24,345.890015,345.890015,0.0,391.27200060000007
16,2018-01-25,171.110001,166.582321,1.274944598333422e-05,2018-01-25,1377.949951,1377.949951,0.0,2018-01-25,187.479996,187.479996,0.0,2018-01-25,1170.369995,1170.369995,0.0,2018-01-25,165.470001,152.84811399999998,6.948486989503584e-07,2018-01-25,92.33000200000001,89.740768,4.236088900203366e-06,2018-01-25,269.700012,269.700012,0.0,2018-01-25,51.599998,50.126369,3.8290759295297816e-06,2018-01-25,112.839996,109.64483600000001,3.6603691422240087e-06,2018-01-25,337.640015,337.640015,0.0,393.64899670000005
17,2018-01-26,171.509995,166.971725,6.049387530570051e-06,2018-01-26,1402.050049,1402.050049,0.0,2018-01-26,190.0,190.0,0.0,2018-01-26,1175.839966,1175.839966,0.0,2018-01-26,167.33999599999999,154.57548500000001,1.8580940877498215e-05,2018-01-26,94.059998,91.422256,6.789660166213438e-06,2018-01-26,274.600006,274.600006,0.0,2018-01-26,52.75,51.243526,2.4517643794075283e-06,2018-01-26,114.540001,111.2967,3.973807279561686e-06,2018-01-26,342.850006,342.850006,0.0,398.5540017
18,2018-01-29,167.96000700000002,163.515671,1.1263167178040857e-06,2018-01-29,1417.680054,1417.680054,0.0,2018-01-29,185.979996,185.979996,0.0,2018-01-29,1175.579956,1175.579956,0.0,2018-01-29,166.800003,154.07666,2.3972697081339927e-05,2018-01-29,93.91999799999999,91.286179,3.1385676219658027e-06,2018-01-29,284.589996,284.589996,0.0,2018-01-29,51.939999,50.456657,6.430563607478045e-07,2018-01-29,113.540001,110.32501200000002,4.028929402004332e-06,2018-01-29,349.52999900000003,349.52999900000003,0.0,400.7520009
19,2018-01-30,166.970001,162.551865,3.893387422760779e-06,2018-01-30,1437.819946,1437.819946,0.0,2018-01-30,187.119995,187.119995,0.0,2018-01-30,1163.689941,1163.689941,0.0,2018-01-30,163.619995,151.139236,1.772803068443226e-05,2018-01-30,92.739998,90.139259,1.145878249536539e-05,2018-01-30,278.799988,278.799988,0.0,2018-01-30,50.959998999999996,49.504646,1.4841437628462266e-06,2018-01-30,110.809998,107.67231000000001,1.6159926808021273e-06,2018-01-30,345.820007,345.820007,0.0,399.83498679999997
20,2018-01-31,167.429993,162.999695,9.926783908359987e-06,2018-01-31,1450.890015,1450.890015,0.0,2018-01-31,186.889999,186.889999,0.0,2018-01-31,1169.939941,1169.939941,0.0,2018-01-31,163.699997,151.21312,1.680705943655167e-05,2018-01-31,95.010002,92.345612,7.5187141318786495e-06,2018-01-31,270.299988,270.299988,0.0,2018-01-31,51.59,50.116657000000004,2.0644502041544667e-06,2018-01-31,113.25,110.043221,7.793704656644529e-08,2018-01-31,354.309998,354.309998,0.0,402.3309933000001
21,2018-02-01,167.779999,163.340424,1.6022753024057e-05,2018-02-01,1390.0,1390.0,0.0,2018-02-01,193.08999599999999,193.08999599999999,0.0,2018-02-01,1167.699951,1167.699951,0.0,2018-02-01,162.399994,150.012283,3.3086748844440584e-06,2018-02-01,94.260002,91.616646,1.6141397315255293e-06,2018-02-01,265.070007,265.070007,0.0,2018-02-01,51.630001,50.155518,2.444264313896468e-06,2018-02-01,111.650002,108.488533,4.770214352729509e-06,2018-02-01,349.25,349.25,0.0,395.28299519999996
22,2018-02-02,160.5,156.253067,8.787071876126262e-06,2018-02-02,1429.949951,1429.949951,0.0,2018-02-02,190.279999,190.279999,0.0,2018-02-02,1111.900024,1111.900024,0.0,2018-02-02,159.029999,146.899338,1.0930435569229456e-05,2018-02-02,91.779999,89.206184,6.681274328175921e-06,2018-02-02,267.429993,267.429993,0.0,2018-02-02,50.130001,48.698357,1.090649501005951e-06,2018-02-02,109.150002,106.05931899999999,3.917227029882539e-06,2018-02-02,343.75,343.75,0.0,391.3899968
23,2018-02-05,156.490005,152.349167,1.26853029278109e-05,2018-02-05,1390.0,1390.0,0.0,2018-02-05,181.259995,181.259995,0.0,2018-02-05,1055.800049,1055.800049,0.0,2018-02-05,152.529999,140.895157,5.6678610964368605e-06,2018-02-05,88.0,85.532188,7.353043081081978e-07,2018-02-05,254.25999500000003,254.25999500000003,0.0,2018-02-05,48.09,46.716609999999996,6.038824107141849e-06,2018-02-05,105.870003,102.8722,4.034485950010433e-06,2018-02-05,333.130005,333.130005,0.0,376.54300509999996
24,2018-02-06,163.029999,158.71611000000001,1.914233655829882e-06,2018-02-06,1442.839966,1442.839966,0.0,2018-02-06,185.309998,185.309998,0.0,2018-02-06,1080.599976,1080.599976,0.0,2018-02-06,155.33999599999999,143.490814,4.1196352467700585e-06,2018-02-06,91.33000200000001,88.76880600000001,3.029850861171839e-07,2018-02-06,265.72000099999997,265.72000099999997,0.0,2018-02-06,49.400002,47.989201,1.0139110370107368e-06,2018-02-06,108.360001,105.29168700000001,4.523691772993215e-06,2018-02-06,333.97000099999997,333.97000099999997,0.0,387.58999420000004
25,2018-02-07,159.53999299999998,155.31843600000002,1.6821091768340292e-05,2018-02-07,1416.780029,1416.780029,0.0,2018-02-07,180.179993,180.179993,0.0,2018-02-07,1048.579956,1048.579956,0.0,2018-02-07,153.850006,142.11448700000003,8.776565964803325e-06,2018-02-07,89.610001,87.097038,1.6038976171924473e-06,2018-02-07,264.559998,264.559998,0.0,2018-02-07,48.869999,47.474334999999996,8.229261221134317e-07,2018-02-07,105.089996,102.114273,2.3627351266981203e-06,2018-02-07,345.0,345.0,0.0,381.20599710000005
26,2018-02-08,155.149994,151.044632,3.388719030258603e-05,2018-02-08,1350.5,1350.5,0.0,2018-02-08,171.580002,171.580002,0.0,2018-02-08,1001.5200199999999,1001.5200199999999,0.0,2018-02-08,147.58999599999999,137.674271,1.4999959689169133,2018-02-08,85.010002,82.62604499999999,7.267708004272003e-06,2018-02-08,250.100006,250.100006,0.0,2018-02-08,46.84,45.502311999999996,1.989738184855483e-06,2018-02-08,101.660004,98.78141,5.872939729090003e-06,2018-02-08,315.230011,315.230011,0.0,362.5180035
27,2018-02-09,156.41000400000001,152.89210500000002,0.6299715613101072,2018-02-09,1339.599976,1339.599976,0.0,2018-02-09,176.110001,176.110001,0.0,2018-02-09,1037.780029,1037.780029,0.0,2018-02-09,149.509995,139.465302,2.72145120668095e-05,2018-02-09,88.18,85.707153,6.998765981269806e-06,2018-02-09,249.47000099999997,249.47000099999997,0.0,2018-02-09,47.73,46.366894,7.936697108890111e-07,2018-02-09,101.989998,99.102058,1.974216790813879e-06,2018-02-09,310.420013,310.420013,0.0,365.7200017
28,2018-02-12,162.71000700000002,159.050415,3.593558176947475e-06,2018-02-12,1386.22998,1386.22998,0.0,2018-02-12,176.41000400000001,176.41000400000001,0.0,2018-02-12,1051.939941,1051.939941,0.0,2018-02-12,151.399994,141.22828700000002,3.8255647888396855e-05,2018-02-12,89.129997,86.630493,1.6357156610403763e-05,2018-02-12,257.950012,257.950012,0.0,2018-02-12,48.150002,46.774899,2.342362907808992e-06,2018-02-12,102.75,99.840538,1.8886223967229387e-06,2018-02-12,315.730011,315.730011,0.0,374.23999480000003
29,2018-02-13,164.33999599999999,160.643784,4.142238180931903e-05,2018-02-13,1414.51001,1414.51001,0.0,2018-02-13,173.149994,173.149994,0.0,2018-02-13,1052.099976,1052.099976,0.0,2018-02-13,150.75,140.621979,1.7860779267575566e-05,2018-02-13,89.83000200000001,87.310875,7.643565451326412e-06,2018-02-13,258.269989,258.269989,0.0,2018-02-13,48.490002000000004,47.105185999999996,3.0983727813103847e-06,2018-02-13,102.800003,99.88913000000001,5.021351041711004e-06,2018-02-13,323.660004,323.660004,0.0,377.7899976
30,2018-02-14,167.369995,163.605591,4.372921122245226e-05,2018-02-14,1451.050049,1451.050049,0.0,2018-02-14,179.520004,179.520004,0.0,2018-02-14,1069.699951,1069.699951,0.0,2018-02-14,154.759995,144.362564,1.689704737071948e-06,2018-02-14,90.809998,88.678009,0.4200065170359172,2018-02-14,266.0,266.0,0.0,2018-02-14,49.450001,48.037773,4.455667844320746e-06,2018-02-14,105.129997,102.153145,3.1792773045168706e-06,2018-02-14,322.309998,322.309998,0.0,385.6099988
