Date,Open,High,Low,Close
12/30/2018,110.229,110.474,109.558,109.6
12/27/2018,110.963,111.006,110.141,110.294
12/26/2018,111.337,111.337,110.452,110.983
12/25/2018,110.285,111.41,110.14,111.363
12/23/2018,110.943,111.193,110.27,110.431
12/20/2018,111.276,111.457,110.931,111.206
12/19/2018,112.475,112.604,110.813,111.286
12/18/2018,112.491,112.663,112.087,112.479
12/17/2018,112.825,112.853,112.249,112.522
12/16/2018,113.337,113.52,112.681,112.827
12/13/2018,113.592,113.672,113.202,113.4
12/12/2018,113.271,113.71,113.169,113.607
12/11/2018,113.36,113.522,113.143,113.272
12/10/2018,113.318,113.467,113.008,113.387
12/9/2018,112.599,113.367,112.241,113.316
12/6/2018,112.65,112.93,112.556,112.692
12/5/2018,113.188,113.196,112.234,112.675
12/4/2018,112.749,113.241,112.649,113.186
12/3/2018,113.639,113.655,112.577,112.785
12/2/2018,113.635,113.819,113.372,113.634
11/29/2018,113.477,113.717,113.309,113.541
11/28/2018,113.673,113.679,113.186,113.47
11/27/2018,113.765,114.033,113.439,113.683
11/26/2018,113.549,113.843,113.414,113.771
11/25/2018,112.902,113.65,112.876,113.6
11/22/2018,112.93,113.011,112.662,112.919
11/21/2018,113.048,113.182,112.883,112.932
11/20/2018,112.758,113.146,112.642,113.045
11/19/2018,112.546,112.842,112.303,112.743
11/18/2018,112.75,112.877,112.421,112.556
11/15/2018,113.616,113.636,112.642,112.861
11/14/2018,113.605,113.706,113.097,113.621
11/13/2018,113.803,114.007,113.295,113.622
11/12/2018,113.828,114.146,113.58,113.804
11/11/2018,113.767,114.205,113.658,113.831
11/8/2018,114.059,114.071,113.636,113.819
11/7/2018,113.488,114.087,113.473,114.049
11/6/2018,113.423,113.816,112.944,113.555
11/5/2018,113.186,113.505,113.1,113.451
11/4/2018,113.156,113.34,113.076,113.196
11/1/2018,112.692,113.321,112.556,113.206
10/31/2018,112.934,113.005,112.607,112.695
10/30/2018,113.111,113.385,112.805,112.983
10/29/2018,112.355,113.087,112.304,113.082
10/28/2018,111.856,112.562,111.773,112.373
10/25/2018,112.408,112.442,111.375,111.89
10/24/2018,112.247,112.673,111.818,112.392
10/23/2018,112.44,112.743,112.088,112.25
10/22/2018,112.82,112.841,111.954,112.444
10/21/2018,112.572,112.888,112.351,112.821
10/18/2018,112.192,112.645,112.139,112.54
10/17/2018,112.644,112.731,111.95,112.192
10/16/2018,112.251,112.676,112.016,112.661
10/15/2018,111.766,112.339,111.733,112.248
10/14/2018,112.136,112.234,111.624,111.772
10/11/2018,112.153,112.495,111.878,112.212
10/10/2018,112.267,112.533,111.826,112.163
10/9/2018,112.954,113.288,112.256,112.256
10/8/2018,113.228,113.391,112.868,112.952
10/7/2018,113.759,113.939,112.819,113.23
10/4/2018,113.879,114.103,113.56,113.701
10/3/2018,114.532,114.549,113.632,113.942
10/2/2018,113.636,114.541,113.524,114.539
10/1/2018,113.908,114.017,113.529,113.681
9/30/2018,113.707,114.059,113.697,113.975
9/27/2018,113.353,113.708,113.303,113.687
9/26/2018,112.712,113.469,112.561,113.405
9/25/2018,112.97,113.133,112.629,112.74
9/24/2018,112.766,112.98,112.741,112.975
9/23/2018,112.4,112.839,112.4,112.812
9/20/2018,112.479,112.873,112.425,112.558
9/19/2018,112.259,112.584,112.042,112.495
9/18/2018,112.351,112.443,112.158,112.302
9/17/2018,111.835,112.386,111.661,112.359
9/16/2018,112.01,112.122,111.761,111.858
9/13/2018,111.919,112.168,111.753,112.042
9/12/2018,111.249,112,111.16,111.924
9/11/2018,111.621,111.651,111.114,111.255
9/10/2018,111.103,111.639,111.06,111.59
9/9/2018,111.023,111.245,110.847,111.119
9/6/2018,110.744,111.247,110.379,111.034
9/5/2018,111.525,111.533,110.522,110.729
9/4/2018,111.347,111.757,111.311,111.529
9/3/2018,111.017,111.532,110.9,111.478
9/2/2018,111.054,111.19,110.852,111.11
8/30/2018,110.964,111.134,110.685,111.104
8/29/2018,111.677,111.756,110.954,111.024
8/28/2018,111.188,111.826,111.121,111.678
8/27/2018,111.067,111.353,110.953,111.193
8/26/2018,111.314,111.349,110.937,111.077
8/23/2018,111.263,111.485,111.1,111.252
8/22/2018,110.545,111.318,110.52,111.295
8/21/2018,110.272,110.618,110.029,110.554
8/20/2018,110.065,110.547,109.773,110.268
8/19/2018,110.586,110.686,110.02,110.075
8/16/2018,110.884,111.05,110.313,110.516
8/15/2018,110.735,111.121,110.456,110.895
8/14/2018,111.136,111.43,110.43,110.739
8/13/2018,110.658,111.313,110.587,111.145
8/12/2018,110.426,110.939,110.108,110.717
8/9/2018,111.061,111.172,110.511,110.89
8/8/2018,110.96,111.18,110.704,111.081
8/7/2018,111.371,111.442,110.839,110.954
8/6/2018,111.399,111.476,110.989,111.375
8/5/2018,111.212,111.525,111.149,111.398
8/2/2018,111.639,111.877,111.101,111.271
8/1/2018,111.72,111.739,111.318,111.645
7/31/2018,111.816,112.151,111.389,111.713
7/30/2018,111.006,111.958,110.727,111.864
7/29/2018,110.929,111.168,110.892,111.064
7/26/2018,111.22,111.255,110.797,111.005
7/25/2018,110.967,111.249,110.588,111.23
7/24/2018,111.189,111.385,110.667,110.964
7/23/2018,111.33,111.512,110.959,111.204
7/22/2018,111.375,111.544,110.751,111.353
7/19/2018,112.455,112.621,111.379,111.44
7/18/2018,112.852,113.18,112.055,112.466
7/17/2018,112.859,113.138,112.709,112.842
7/16/2018,112.277,112.925,112.221,112.88
7/15/2018,112.21,112.564,112.189,112.277
7/12/2018,112.528,112.799,112.273,112.363
7/11/2018,111.987,112.624,111.911,112.521
7/10/2018,110.983,112.173,110.763,111.997
7/9/2018,110.846,111.353,110.758,111.047
7/8/2018,110.374,110.902,110.339,110.842
7/5/2018,110.582,110.79,110.383,110.48
7/4/2018,110.449,110.729,110.291,110.66
7/3/2018,110.578,110.609,110.279,110.492
7/2/2018,110.892,111.132,110.505,110.571
7/1/2018,110.608,111.063,110.554,110.886
6/28/2018,110.474,110.942,110.373,110.699
